Name,Release_year,Rating,Total_Rating,Duration
The Shawshank Redemption,1994,9.3,2.9M,2 h 22 m
The Godfather,1972,9.2,2M,2 h 55 m
The Dark Knight,2008,9.0,2.9M,2 h 32 m
The Godfather Part II,1974,9.0,1.4M,3 h 22 m
12 Angry Men,1957,9.0,868K,1 h 36 m
Schindler's List,1993,9.0,1.5M,3 h 15 m
The Lord of the Rings: The Return of the King,2003,9.0,2M,3 h 21 m
Pulp Fiction,1994,8.9,2.2M,2 h 34 m
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2M,2 h 58 m
"Il buono, il brutto, il cattivo",1966,8.8,813K,2 h 41 m
Forrest Gump,1994,8.8,2.3M,2 h 22 m
The Lord of the Rings: The Two Towers,2002,8.8,1.8M,2 h 59 m
Fight Club,1999,8.8,2.3M,2 h 19 m
Inception,2010,8.8,2.6M,2 h 28 m
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.4M,2 h 4 m
The Matrix,1999,8.7,2.1M,2 h 16 m
Goodfellas,1990,8.7,1.3M,2 h 25 m
One Flew Over the Cuckoo's Nest,1975,8.7,1.1M,2 h 13 m
Se7en,1995,8.6,1.8M,2 h 7 m
Interstellar,2014,8.7,2.1M,2 h 49 m
It's a Wonderful Life,1946,8.6,500K,2 h 10 m
Shichinin no samurai,1954,8.6,368K,3 h 27 m
The Silence of the Lambs,1991,8.6,1.6M,1 h 58 m
Saving Private Ryan,1998,8.6,1.5M,2 h 49 m
Cidade de Deus,2002,8.6,803K,2 h 10 m
La vita è bella,1997,8.6,745K,1 h 56 m
The Green Mile,1999,8.6,1.4M,3 h 9 m
Dune: Part Two,2024,8.6,412K,2 h 46 m
Terminator 2: Judgment Day,1991,8.6,1.2M,2 h 17 m
Star Wars,1977,8.6,1.5M,2 h 1 m
Back to the Future,1985,8.5,1.3M,1 h 56 m
Sen to Chihiro no kamikakushi,2001,8.6,853K,2 h 5 m
The Pianist,2002,8.5,916K,2 h 30 m
Gisaengchung,2019,8.5,965K,2 h 12 m
Psycho,1960,8.5,720K,1 h 49 m
Spider-Man: Across the Spider-Verse,2023,8.6,374K,2 h 20 m
Gladiator,2000,8.5,1.6M,2 h 35 m
The Lion King,1994,8.5,1.1M,1 h 28 m
The Departed,2006,8.5,1.4M,2 h 31 m
Léon,1994,8.5,1.2M,1 h 50 m
American History X,1998,8.5,1.2M,1 h 59 m
Whiplash,2014,8.5,994K,1 h 46 m
The Prestige,2006,8.5,1.4M,2 h 10 m
Hotaru no haka,1988,8.5,312K,1 h 29 m
